x,y,z
7.114351090000000549e+05,3.082766070000000182e+05,9.169899999999999807e+01
7.114160130000000354e+05,3.082505210000000079e+05,9.317199999999999704e+01
7.114112010000000009e+05,3.082448740000000107e+05,9.371099999999999852e+01
7.114010250000000233e+05,3.082259579999999842e+05,9.379800000000000182e+01
7.114288969999999972e+05,3.082285410000000265e+05,9.053199999999999648e+01
7.113990060000000522e+05,3.082279359999999870e+05,9.465800000000000125e+01
7.114148370000000577e+05,3.082126630000000005e+05,9.117700000000000671e+01
7.114126130000000121e+05,3.082411550000000279e+05,9.300900000000000034e+01
7.114292630000000354e+05,3.082715320000000065e+05,9.230599999999999739e+01
7.114260509999999776e+05,3.082655709999999963e+05,9.233700000000000330e+01
7.114202070000000531e+05,3.082455459999999730e+05,9.203900000000000148e+01
7.114191180000000168e+05,3.082496859999999870e+05,9.261400000000000432e+01
7.114137099999999627e+05,3.082622050000000163e+05,9.450799999999999557e+01
7.114030389999999898e+05,3.082286859999999870e+05,9.378199999999999648e+01
7.114019050000000279e+05,3.082310869999999995e+05,9.434400000000000830e+01
7.114209429999999702e+05,3.082668879999999772e+05,9.357900000000000773e+01
7.114212510000000475e+05,3.082260989999999874e+05,9.068200000000000216e+01
7.114345250000000233e+05,3.082459070000000065e+05,8.998499999999999943e+01
7.114135600000000559e+05,3.082482229999999981e+05,9.348600000000000421e+01
7.114452299999999814e+05,3.082523279999999795e+05,8.970100000000000762e+01
7.114314470000000438e+05,3.082750339999999851e+05,9.213700000000000045e+01
7.114141019999999553e+05,3.082413520000000135e+05,9.283200000000000784e+01
7.114149100000000326e+05,3.082531630000000005e+05,9.360200000000000387e+01
7.114193499999999767e+05,3.082510850000000210e+05,9.268999999999999773e+01
7.114148969999999972e+05,3.082475320000000065e+05,9.313800000000000523e+01
7.114243260000000009e+05,3.082661290000000154e+05,9.285699999999999932e+01
7.114205899999999674e+05,3.082486369999999879e+05,9.225600000000000023e+01
7.114144370000000345e+05,3.082522600000000093e+05,9.364900000000000091e+01
7.114179179999999469e+05,3.082610590000000084e+05,9.370700000000000784e+01
7.114207900000000373e+05,3.082673850000000093e+05,9.375000000000000000e+01
7.114227260000000242e+05,3.082558219999999856e+05,9.231100000000000705e+01
7.114146119999999646e+05,3.082338319999999949e+05,9.209700000000000841e+01
7.114336539999999804e+05,3.082828780000000261e+05,9.247200000000000841e+01
7.114283179999999702e+05,3.082677980000000098e+05,9.203400000000000603e+01
7.114311520000000019e+05,3.082658229999999749e+05,9.134499999999999886e+01
7.114149719999999506e+05,3.082526199999999953e+05,9.371900000000000830e+01
7.114337229999999981e+05,3.082758099999999977e+05,9.181400000000000716e+01
7.114257519999999786e+05,3.082570630000000237e+05,9.193999999999999773e+01
